"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)",행정구역별(2),면적 (㎢),전년말주민등록인구수 (명),성별 (명),성별 (명),성별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인등록인구수 (명),외국인등록인구수 (명),외국인등록인구수 (명),인구밀도 (명/㎢),인구증가율 (%)
"행정구역별(1)",행정구역별(2),소계,소계,소계,남자,여자,소계,0~14세(유소년),15~64세(생산가능),65세이상(고령),소계,남자,여자,소계,소계
"부산광역시",기장군,218.30,164864,164716,81571,83145,164716,27456,111912,25348,2229,1505,724,754.64,-0.09
"대구광역시",소계,883.52,2461769,2438031,1205286,1232745,2438031,294899,1763855,379277,30191,16407,13784,2759.55,-0.96
"대구광역시",중구,7.06,79401,77421,37384,40037,77421,7790,54034,15597,798,365,433,10966.15,-2.49
"대구광역시",동구,182.15,351291,345469,170601,174868,345469,40014,241441,64014,1907,652,1255,1896.72,-1.66
"대구광역시",서구,17.33,184372,175277,88052,87225,175277,13167,125358,36752,2481,1379,1102,10114.08,-4.93
"대구광역시",남구,17.43,150501,148113,71366,76747,148113,11528,103598,32987,1547,672,875,8497.59,-1.59
"대구광역시",북구,93.98,439489,437710,218150,219560,437710,55503,322087,60120,5233,2505,2728,4657.48,-0.40
"대구광역시",수성구,76.54,432759,428614,208024,220590,428614,55396,309744,63474,1720,716,1004,5600.60,-0.96
"대구광역시",달서구,62.34,573413,568887,281348,287539,568887,69272,423840,75775,10465,6161,4304,9125.55,-0.79
"대구광역시",달성군,426.69,250543,256540,130361,126179,256540,42229,183753,30558,6040,3957,2083,601.25,2.39
"인천광역시",소계,1063.26,2954642,2957026,1482249,1474777,2957026,375242,2197236,384548,72259,41155,31104,2781.07,0.08
"인천광역시",중구,140.29,122499,135135,70063,65072,135135,18349,97710,19076,4250,2160,2090,963.25,10.32
"인천광역시",동구,7.19,66233,64427,32536,31891,64427,6869,43807,13751,935,528,407,8960.64,-2.73
"인천광역시",미추홀구,24.84,416542,408862,206129,202733,408862,44314,298906,65642,9632,4861,4771,16459.82,-1.84
"인천광역시",연수구,54.95,346359,366550,182374,184176,366550,56480,275724,34346,13177,6823,6354,6670.61,5.83
"인천광역시",남동구,57.02,537161,532704,264955,267749,532704,70333,395948,66423,12427,8264,4163,9342.41,-0.83
"인천광역시",부평구,32.01,524640,511577,253338,258239,511577,57490,384538,69549,14549,7521,7028,15981.79,-2.49
"인천광역시",계양구,45.57,312680,303471,151569,151902,303471,33084,235344,35043,3346,1506,1840,6659.45,-2.95
"인천광역시",서구,117.09,538596,544556,274942,269614,544556,81203,409662,53691,12859,8754,4105,4650.75,1.11
"인천광역시",강화군,411.41,68896,69178,34665,34513,69178,5581,41695,21902,859,573,286,168.15,0.41
"인천광역시",옹진군,172.90,21036,20566,11678,8888,20566,1539,13902,5125,225,165,60,118.95,-2.23
"광주광역시",소계,501.14,1459336,1456468,720740,735728,1456468,201037,1059952,195479,23825,13020,10805,2906.31,-0.20
"광주광역시",동구,49.31,94475,98585,48799,49786,98585,9658,67789,21138,1919,988,931,1999.29,4.35
"광주광역시",서구,47.75,304172,300975,147671,153304,300975,38220,222509,40246,1691,758,933,6303.14,-1.05
"광주광역시",남구,61.02,216369,218060,105027,113033,218060,29213,152685,36162,1553,626,927,3573.58,0.78
"광주광역시",북구,120.28,439773,433533,215260,218273,433533,55195,316892,61446,5201,2527,2674,3604.36,-1.42
"광주광역시",광산구,222.78,404547,405315,203983,201332,405315,68751,300077,36487,13461,8121,5340,1819.35,0.19
"대전광역시",소계,539.63,1489936,1474870,736607,738263,1474870,191833,1084346,198691,19109,8837,10272,2733.11,-1.01
"대전광역시",동구,136.68,229071,226771,114447,112324,226771,25745,160405,40621,5241,2422,2819,1659.14,-1.00
"대전광역시",중구,62.18,244421,240473,118864,121609,240473,27061,169764,43648,1533,554,979,3867.37,-1.62
"대전광역시",서구,95.53,484663,481222,236851,244371,481222,63943,360078,57201,3804,1528,2276,5037.39,-0.71
"대전광역시",유성구,176.53,349790,349373,176415,172958,349373,55493,262698,31182,6143,3131,3012,1979.11,-0.12
"대전광역시",대덕구,68.71,181991,177031,90030,87001,177031,19591,131401,26039,2388,1202,1186,2576.50,-2.73
"울산광역시",소계,1062.04,1155623,1148019,589712,558307,1148019,159310,856144,132565,20450,12338,8112,1080.96,-0.66
"울산광역시",중구,37.01,231973,223581,113526,110055,223581,27772,164786,31023,2063,857,1206,6041.10,-3.62
"울산광역시",남구,73.47,330732,323819,165062,158757,323819,39141,248360,36318,5113,2655,2458,4407.50,-2.09
"울산광역시",동구,36.07,164642,159656,83391,76265,159656,24071,117396,18189,3450,2277,1173,4426.28,-3.03
"울산광역시",북구,157.36,206434,217796,112588,105208,217796,38394,162953,16449,2527,1504,1023,1384.06,5.50
